timestamp,halow_rssi_dbm,halow_noise_dbm,halow_tx_rate_mbps,halow_rx_rate_mbps,halow_tx_bytes,halow_rx_bytes,halow_retries,halow_drops,halow_channel_active_ms,halow_channel_busy_ms,halow_channel_busy_pct
2025-12-06T13:26:03.082837,-21.0,-84.0,13.9,,4224696,451680,,2,,,
2025-12-06T13:26:06.115820,-21.0,-84.0,13.9,,4224696,451680,,2,,,
2025-12-06T13:26:09.109932,-21.0,-82.0,13.9,,4224696,451680,,2,,,
2025-12-06T13:26:12.235728,-21.0,-80.0,13.9,,4224696,451680,,2,,,
2025-12-06T13:26:16.280639,-21.0,-82.0,13.9,,4224696,451680,,2,,,
2025-12-06T13:26:19.621647,-21.0,-80.0,13.9,,4224954,451680,,2,,,
2025-12-06T13:26:23.818874,-22.0,-80.0,13.9,,4225212,451680,,2,,,
2025-12-06T13:26:27.536642,-22.0,-80.0,13.9,,4225212,451680,,2,,,
2025-12-06T13:26:31.160125,-22.0,-82.0,13.9,,4225212,451680,,2,,,
2025-12-06T13:26:34.853386,-22.0,-82.0,13.9,,4225212,451680,,2,,,
2025-12-06T13:26:37.999280,-23.0,-80.0,13.9,,4225212,451770,,2,,,
2025-12-06T13:26:41.755994,-23.0,-80.0,13.9,,4225212,451770,,2,,,
2025-12-06T13:26:45.712832,-23.0,-80.0,13.9,,4225298,451812,,2,,,
2025-12-06T13:26:48.897984,-23.0,-80.0,13.9,,4225298,451812,,2,,,
2025-12-06T13:26:52.073530,-23.0,-82.0,13.9,,4225298,451812,,2,,,
2025-12-06T13:26:55.602963,-22.0,-82.0,13.9,,4225422,451894,,2,,,
2025-12-06T13:26:59.838462,-22.0,-82.0,13.9,,4225422,451894,,2,,,
2025-12-06T13:27:03.093211,-21.0,-80.0,13.9,,4225594,451936,,2,,,
2025-12-06T13:27:06.173845,-21.0,-82.0,12.3,,4225766,451936,,2,,,
2025-12-06T13:27:09.314568,-21.0,-80.0,12.3,,4225766,451936,,2,,,
2025-12-06T13:27:13.316567,-21.0,-82.0,12.3,,4225766,451936,,2,,,
2025-12-06T13:27:16.416482,-21.0,-80.0,12.3,,4225766,451936,,2,,,
2025-12-06T13:27:19.586221,-21.0,-80.0,12.3,,4225766,451936,,2,,,
2025-12-06T13:27:23.694209,-23.0,-80.0,12.3,,4226024,451936,,2,,,
2025-12-06T13:27:27.077513,-24.0,-82.0,13.9,,4226282,451936,,2,,,
2025-12-06T13:27:30.150498,-24.0,-84.0,13.9,,4226282,451936,,2,,,
2025-12-06T13:27:33.463910,-21.0,-84.0,13.9,,4226454,451936,,2,,,
2025-12-06T13:27:36.505420,-21.0,-80.0,12.5,,4226540,451936,,2,,,
2025-12-06T13:27:40.126725,-21.0,-82.0,12.5,,4226540,451936,,2,,,
2025-12-06T13:27:43.357853,-21.0,-84.0,12.5,,4226540,451936,,2,,,
2025-12-06T13:27:46.423414,-21.0,-80.0,12.5,,4226540,451936,,2,,,
